well_position	gene_name	pert_name	broad_sample	cell_line	ASSAY_WELL_ROLE	GeneID
b24	RHOA	RHOA_Q63L	BRDN0000464985	U2OS	Treated	387
c01	CREB1	CREB1_WT	ccsbBroad304_00360	U2OS	Treated	1385
c02	DVL1	DVL1_WT.1	ccsbBroad304_10790	U2OS	Treated	1855
c03	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
c04	NOTCH2	NOTCH2_WT	ccsbBroad304_11001	U2OS	Treated	4853
c05	ATF2	ATF2_WT	ccsbBroad304_00361	U2OS	Treated	1386
c06	PIK3R2	PIK3R2_WT	ccsbBroad304_11031	U2OS	Treated	5296
c07	MAPK14	MAPK14_WT.1	ccsbBroad304_00371	U2OS	Treated	1432
c08	PPP2R5C	PPP2R5C_WT.1	ccsbBroad304_11052	U2OS	Treated	5527
c09	CSNK1E	CSNK1E_WT.1	ccsbBroad304_00379	U2OS	Treated	1454
c10	RELA	RELA_WT.1	ccsbBroad304_11095	U2OS	Treated	5970
c11	DVL2	DVL2_WT	ccsbBroad304_00470	U2OS	Treated	1856
c12	ADAM17	ADAM17_WT	ccsbBroad304_11169	U2OS	Treated	6868
c13	EIF4EBP1	EIF4EBP1_WT	ccsbBroad304_00490	U2OS	Treated	1978
c14	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
c15	ELK1	ELK1_WT	ccsbBroad304_00498	U2OS	Treated	2002
c16	TGFBR2	TGFBR2_WT.1	ccsbBroad304_11186	U2OS	Treated	7048
c17	FH	FH_WT	ccsbBroad304_00565	U2OS	Treated	2271
c18	EGLN1	EGLN1_WT.1.mismatch	ccsbBroad304_12062	U2OS	Treated	54583
c19	Luciferase	Luciferase_CTRL	NA	U2OS	CTRL	NA
c20	RICTOR	RICTOR_WT	ccsbBroad304_13449	U2OS	Treated	253260
c21	IKBKB	IKBKB_WT	ccsbBroad304_00841	U2OS	Treated	3551
c22	ACVR1B	ACVR1B_WT.1	ccsbBroad304_14528	U2OS	Treated	91
c23	IRS1	IRS1_WT	ccsbBroad304_00882	U2OS	Treated	3667
c24	AKT1	AKT1_WT.1	ccsbBroad304_14538	U2OS	Treated	207
d01	XIAP	XIAP_WT.1	BRDN0000464906	U2OS	Treated	331
d02	TGFBR1	TGFBR1_K232R	BRDN0000464986	U2OS	Treated	7046
d03	CDC42	CDC42_WT	BRDN0000464907	U2OS	Treated	998
d04	BRAF	BRAF_V600E	BRDN0000464987	U2OS	Treated	673
d05	TP53	TP53_WT.1	BRDN0000464908	U2OS	Treated	7157
d06	SRC	SRC_Y527F	BRDN0000464988	U2OS	Treated	6714
d07	CRY1	CRY1_WT.1	BRDN0000464909	U2OS	Treated	1407
d08	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
d09	HIF1A	HIF1A_WT.1	BRDN0000464910	U2OS	Treated	3091
d10	KRAS	KRAS_G12V	BRDN0000464989	U2OS	Treated	3845
d11	NFKB2	NFKB2_WT	BRDN0000464911	U2OS	Treated	4791
d12	HRAS	HRAS_G12V	BRDN0000464990	U2OS	Treated	3265
d13	RAC1	RAC1_WT.1	BRDN0000464912	U2OS	Treated	5879
d14	MEK1	MEK1_S218D.S222D.mismatch	BRDN0000464991	U2OS	Treated	5604
d15	ERN1	ERN1_WT.1	BRDN0000464913	U2OS	Treated	2081
d16	AKT1	AKT1_E17K	BRDN0000464992	U2OS	Treated	207
d17	Luciferase	Luciferase_CTRL	NA	U2OS	CTRL	NA
d18	FGFR3	FGFR3_K650E	BRDN0000464993	U2OS	Treated	2261
d19	RPS6KB1	RPS6KB1_WT.1	BRDN0000464914	U2OS	Treated	6198
d20	ERG	ERG_truncated	BRDN0000464994	U2OS	Treated	2078
d21	E2F1	E2F1_WT	BRDN0000464915	U2OS	Treated	1869
d22	ERG	ERG_truncated	BRDN0000464994	U2OS	Treated	2078
d23	BECN1	BECN1_WT	BRDN0000464916	U2OS	Treated	8678
d24	NOTCH1	NOTCH1_ICN1.1	BRDN0000464996	U2OS	Treated	4851
e01	SMAD4	SMAD4_WT	ccsbBroad304_00962	U2OS	Treated	4089
e02	ARAF	ARAF_WT.2	ccsbBroad304_14544	U2OS	Treated	369
e03	SMAD5	SMAD5_WT	ccsbBroad304_00963	U2OS	Treated	4090
e04	CDK2	CDK2_WT.2	ccsbBroad304_14572	U2OS	Treated	1017
e05	NFKBIA	NFKBIA_WT	ccsbBroad304_01093	U2OS	Treated	4792
e06	CDK4	CDK4_WT.2	ccsbBroad304_14574	U2OS	Treated	1019
e07	NFKBIB	NFKBIB_WT	ccsbBroad304_01094	U2OS	Treated	4793
e08	MAPK14	MAPK14_WT.2	ccsbBroad304_14596	U2OS	Treated	1432
e09	PDPK1	PDPK1_WT.1	ccsbBroad304_01168	U2OS	Treated	5170
e10	CSNK1E	CSNK1E_WT.2	ccsbBroad304_14601	U2OS	Treated	1454
e11	PIK3CB	PIK3CB_WT.1	ccsbBroad304_01202	U2OS	Treated	5291
e12	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
e13	PIK3CD	PIK3CD_WT	ccsbBroad304_01204	U2OS	Treated	5293
e14	ERN1	ERN1_WT.2	ccsbBroad304_14634	U2OS	Treated	2081
e15	PRKACB	PRKACB_WT.1	ccsbBroad304_01278	U2OS	Treated	5567
e16	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
e17	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
e18	JAK2	JAK2_WT	ccsbBroad304_14680	U2OS	Treated	3717
e19	PRKCA	PRKCA_WT.1	ccsbBroad304_01281	U2OS	Treated	5578
e20	JUN	JUN_WT.1	ccsbBroad304_14682	U2OS	Treated	3725
e21	PRKCE	PRKCE_WT.1	ccsbBroad304_01283	U2OS	Treated	5581
e22	MAP3K5	MAP3K5_WT	ccsbBroad304_14695	U2OS	Treated	4217
e23	PRKCZ	PRKCZ_WT.1	ccsbBroad304_01284	U2OS	Treated	5590
e24	MAP3K11	MAP3K11_WT	ccsbBroad304_14698	U2OS	Treated	4296
f01	MAPK1	MAPK1_WT.1	BRDN0000464917	U2OS	Treated	5594
f02	CEBPA	CEBPA_WT.1	BRDN0000464846	U2OS	Treated	1050
f03	TRAF5	TRAF5_WT	BRDN0000464918	U2OS	Treated	7188
f04	CEBPA	CEBPA_WT.2	BRDN0000464847	U2OS	Treated	1050
f05	BMP2	BMP2_WT	BRDN0000464919	U2OS	Treated	650
f06	CREBBP	CREBBP_WT	BRDN0000464848	U2OS	Treated	1387
f07	NFKBIE	NFKBIE_WT	BRDN0000464920	U2OS	Treated	4794
f08	ERBB2	ERBB2_WT.2	BRDN0000464849	U2OS	Treated	2064
f09	GRB10	GRB10_WT.1	BRDN0000464921	U2OS	Treated	2887
f10	KRAS	KRAS_WT.1	BRDN0000464850	U2OS	Treated	3845
f11	ATF4	ATF4_WT.2	BRDN0000464922	U2OS	Treated	468
f12	KRAS	KRAS_WT.2	BRDN0000464851	U2OS	Treated	3845
f13	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
f14	BCL2L1	BCL2L1_WT	ccsbBroad304_00156	U2OS	Treated	598
f15	DUSP1	DUSP1_WT.mismatch	BRDN0000464923	U2OS	Treated	1843
f16	Luciferase	Luciferase_CTRL	NA	U2OS	CTRL	NA
f17	HSP90B1	HSP90B1_WT.1	BRDN0000464924	U2OS	Treated	7184
f18	CSNK1A1	CSNK1A1_WT.1	ccsbBroad304_06055	U2OS	Treated	1452
f19	DDIT3	DDIT3_WT.1	BRDN0000464925	U2OS	Treated	1649
f20	YAP1	YAP1_WT.1	ccsbBroad304_07601	U2OS	Treated	10413
f21	JUN	JUN_WT.2	BRDN0000464926	U2OS	Treated	3725
f22	CSNK1A1	CSNK1A1_WT.2	ccsbBroad304_14599	U2OS	Treated	1452
f23	AXIN2	AXIN2_WT.2	BRDN0000464927	U2OS	Treated	8313
f24	YAP1	YAP1_WT.2	BRDN0000464852	U2OS	Treated	10413
g01	MAPK8	MAPK8_WT.1	ccsbBroad304_01287	U2OS	Treated	5599
g02	PDPK1	PDPK1_WT.2	ccsbBroad304_14741	U2OS	Treated	5170
g03	MAPK9	MAPK9_WT.1	ccsbBroad304_01288	U2OS	Treated	5601
g04	PIK3CA	PIK3CA_WT.1	ccsbBroad304_14759	U2OS	Treated	5290
g05	MAPK13	MAPK13_WT.1	ccsbBroad304_01289	U2OS	Treated	5603
g06	PIK3CB	PIK3CB_WT.2	ccsbBroad304_14760	U2OS	Treated	5291
g07	RELB	RELB_WT	ccsbBroad304_01388	U2OS	Treated	5971
g08	PIK3R1	PIK3R1_WT.1	ccsbBroad304_14763	U2OS	Treated	5295
g09	RHEB	RHEB_WT.1	ccsbBroad304_01398	U2OS	Treated	6009
g10	PRKAA1	PRKAA1_WT.1	ccsbBroad304_14776	U2OS	Treated	5562
g11	STAT1	STAT1_WT	ccsbBroad304_01607	U2OS	Treated	6772
g12	PRKACA	PRKACA_WT.1	ccsbBroad304_14780	U2OS	Treated	5566
g13	STAT3	STAT3_WT	ccsbBroad304_01609	U2OS	Treated	6774
g14	LacZ	LacZ_CTRL	NA	U2OS	CTRL	NA
g15	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
g16	PRKACB	PRKACB_WT.2	ccsbBroad304_14781	U2OS	Treated	5567
g17	STK11	STK11_WT.1	ccsbBroad304_01613	U2OS	Treated	6794
g18	PRKCA	PRKCA_WT.2	ccsbBroad304_14788	U2OS	Treated	5578
g19	TGFBR1	TGFBR1_WT.1	ccsbBroad304_01666	U2OS	Treated	7046
g20	PRKCE	PRKCE_WT.2	ccsbBroad304_14790	U2OS	Treated	5581
g21	TNFAIP3	TNFAIP3_WT	ccsbBroad304_01686	U2OS	Treated	7128
g22	PRKCZ	PRKCZ_WT.2	ccsbBroad304_14796	U2OS	Treated	5590
g23	TRAF2	TRAF2_WT	ccsbBroad304_01710	U2OS	Treated	7186
g24	MAPK1	MAPK1_WT.2	ccsbBroad304_14799	U2OS	Treated	5594
h01	PPP2R5C	PPP2R5C_WT.2	BRDN0000464928	U2OS	Treated	5527
h02	APC	APC_WT	BRDN0000464853	U2OS	Treated	324
h03	CASP8	CASP8_WT.2	BRDN0000464929	U2OS	Treated	841
h04	CTNNB1	CTNNB1_WT	BRDN0000464854	U2OS	Treated	1499
h05	MAPK7	MAPK7_WT.mismatch	BRDN0000464930	U2OS	Treated	5598
h06	CSNK1A1	CSNK1A1_WT.3	BRDN0000464855	U2OS	Treated	1452
h07	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
h08	LacZ	LacZ_CTRL	NA	U2OS	CTRL	NA
h09	IRAK1	IRAK1_WT	BRDN0000464931	U2OS	Treated	3654
h10	YAP1	YAP1_WT.3	BRDN0000464856	U2OS	Treated	10413
h11	FURIN	FURIN_WT.1	BRDN0000464932	U2OS	Treated	5045
h12	YAP1	YAP1_WT.4	BRDN0000464857	U2OS	Treated	10413
h13	NFKB1	NFKB1_WT.1	BRDN0000464933	U2OS	Treated	4790
h14	SMAD7	SMAD7_WT	ccsbBroad304_00964	U2OS	Treated	4092
h15	JAG1	JAG1_WT	BRDN0000464934	U2OS	Treated	182
h16	MCL1	MCL1_WT	ccsbBroad304_00985	U2OS	Treated	4170
h17	MAP2K4	MAP2K4_WT.1	BRDN0000464935	U2OS	Treated	6416
h18	MOS	MOS_WT.1	ccsbBroad304_01029	U2OS	Treated	4342
h19	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
h20	PAK1	PAK1_WT.1	ccsbBroad304_01144	U2OS	Treated	5058
h21	GRB10	GRB10_WT.2	BRDN0000464936	U2OS	Treated	2887
h22	SOCS3	SOCS3_WT	ccsbBroad304_02064	U2OS	Treated	9021
h23	AKT3	AKT3_WT.2	BRDN0000464937	U2OS	Treated	10000
h24	BCL2L11	BCL2L11_WT	ccsbBroad304_02292	U2OS	Treated	10018
i01	WNT5A	WNT5A_WT	ccsbBroad304_01779	U2OS	Treated	7474
i02	MAPK3	MAPK3_WT	ccsbBroad304_14800	U2OS	Treated	5595
i03	BTRC	BTRC_WT	ccsbBroad304_02053	U2OS	Treated	8945
i04	MAPK8	MAPK8_WT.2	ccsbBroad304_14803	U2OS	Treated	5599
i05	ATG5	ATG5_WT	ccsbBroad304_02173	U2OS	Treated	9474
i06	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
i07	CLOCK	CLOCK_WT	ccsbBroad304_02201	U2OS	Treated	9575
i08	MAPK9	MAPK9_WT.2	ccsbBroad304_14804	U2OS	Treated	5601
i09	IKBKE	IKBKE_WT.1	ccsbBroad304_02218	U2OS	Treated	9641
i10	MAPK13	MAPK13_WT.2	ccsbBroad304_14806	U2OS	Treated	5603
i11	LacZ	LacZ_CTRL	NA	U2OS	CTRL	NA
i12	MAP2K1	MAP2K1_WT.1	ccsbBroad304_14807	U2OS	Treated	5604
i13	DKK1	DKK1_WT	ccsbBroad304_02706	U2OS	Treated	22943
i14	RAF1	RAF1_WT.1	ccsbBroad304_14825	U2OS	Treated	5894
i15	SGK3	SGK3_WT.1	ccsbBroad304_02831	U2OS	Treated	23678
i16	RPS6KB1	RPS6KB1_WT.2	ccsbBroad304_14833	U2OS	Treated	6198
i17	BAMBI	BAMBI_WT	ccsbBroad304_02857	U2OS	Treated	25805
i18	STK3	STK3_WT.1	ccsbBroad304_14850	U2OS	Treated	6788
i19	WWTR1	WWTR1_WT	ccsbBroad304_02889	U2OS	Treated	25937
i20	STK11	STK11_WT.2	ccsbBroad304_14853	U2OS	Treated	6794
i21	DDIT4	DDIT4_WT	ccsbBroad304_03433	U2OS	Treated	54541
i22	MAP3K7	MAP3K7_WT	ccsbBroad304_14856	U2OS	Treated	6885
i23	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
i24	TGFBR1	TGFBR1_WT.2	ccsbBroad304_14861	U2OS	Treated	7046
j01	HSP90B1	HSP90B1_WT.2	BRDN0000464938	U2OS	Treated	7184
j02	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
j03	PTEN	PTEN_WT	BRDN0000464939	U2OS	Treated	5728
j04	ATG16L1	ATG16L1_WT	ccsbBroad304_03512	U2OS	Treated	55054
j05	TRAF3	TRAF3_WT.1	BRDN0000464940	U2OS	Treated	7187
j06	HIF1AN	HIF1AN_WT	ccsbBroad304_03625	U2OS	Treated	55662
j07	MAPKAP1	MAPKAP1_WT	BRDN0000464941	U2OS	Treated	79109
j08	CXXC4	CXXC4_WT	ccsbBroad304_04207	U2OS	Treated	80319
j09	REL	REL_WT.1	BRDN0000464942	U2OS	Treated	5966
j10	RBPJ	RBPJ_WT.1	ccsbBroad304_06435	U2OS	Treated	3516
j11	CYLD	CYLD_WT	BRDN0000464943	U2OS	Treated	1540
j12	PRKACG	PRKACG_WT.1	ccsbBroad304_06772	U2OS	Treated	5568
j13	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
j14	PER1	PER1_WT.1	ccsbBroad304_11025	U2OS	Treated	5187
j15	CYLD	CYLD_WT	BRDN0000464943	U2OS	Treated	1540
j16	ATF6	ATF6_WT.1	ccsbBroad304_11651	U2OS	Treated	22926
j17	MAP2K3	MAP2K3_WT	BRDN0000464945	U2OS	Treated	5606
j18	IRGM	IRGM_WT.1	ccsbBroad304_13609	U2OS	Treated	345611
j19	PHLPP1	PHLPP1_WT	BRDN0000464946	U2OS	Treated	23239
j20	MOS	MOS_WT.2	ccsbBroad304_14699	U2OS	Treated	4342
j21	EGLN1	EGLN1_WT.2	BRDN0000464947	U2OS	Treated	54583
j22	PAK1	PAK1_WT.2	ccsbBroad304_14726	U2OS	Treated	5058
j23	EGLN1	EGLN1_WT.3	BRDN0000464948	U2OS	Treated	54583
j24	PRKACG	PRKACG_WT.2	ccsbBroad304_14782	U2OS	Treated	5568
k01	PSENEN	PSENEN_WT	ccsbBroad304_03668	U2OS	Treated	55851
k02	TGFBR2	TGFBR2_WT.2	ccsbBroad304_14862	U2OS	Treated	7048
k03	DIABLO	DIABLO_WT	ccsbBroad304_03728	U2OS	Treated	56616
k04	MKNK1	MKNK1_WT	ccsbBroad304_14905	U2OS	Treated	8569
k05	SMURF2	SMURF2_WT	ccsbBroad304_03961	U2OS	Treated	64750
k06	RIPK1	RIPK1_WT	ccsbBroad304_14910	U2OS	Treated	8737
k07	XIAP	XIAP_WT.2	ccsbBroad304_05835	U2OS	Treated	331
k08	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
k09	BMPR1B	BMPR1B_WT.2	ccsbBroad304_05836	U2OS	Treated	658
k10	IKBKE	IKBKE_WT.2	ccsbBroad304_14943	U2OS	Treated	9641
k11	CCND1	CCND1_WT.2	ccsbBroad304_05880	U2OS	Treated	595
k12	AKT3	AKT3_WT.3	ccsbBroad304_14950	U2OS	Treated	10000
k13	CRY1	CRY1_WT.2	ccsbBroad304_06040	U2OS	Treated	1407
k14	LRPPRC	LRPPRC_WT	ccsbBroad304_14956	U2OS	Treated	10128
k15	DDIT3	DDIT3_WT.2	ccsbBroad304_06089	U2OS	Treated	1649
k16	MAP3K2	MAP3K2_WT.2	ccsbBroad304_14974	U2OS	Treated	10746
k17	Luciferase	Luciferase_CTRL	NA	U2OS	CTRL	NA
k18	SGK3	SGK3_WT.2	ccsbBroad304_15022	U2OS	Treated	23678
k19	DVL3	DVL3_WT	ccsbBroad304_06132	U2OS	Treated	1857
k20	TBK1	TBK1_WT.2	ccsbBroad304_15050	U2OS	Treated	29110
k21	EIF4E	EIF4E_WT.2	ccsbBroad304_06150	U2OS	Treated	1977
k22	XBP1	XBP1_WT.2	BRDN0000464877	U2OS	Treated	7494
k23	HIF1A	HIF1A_WT.2	ccsbBroad304_06365	U2OS	Treated	3091
k24	XBP1	XBP1_WT.3	BRDN0000464878	U2OS	Treated	7494
l01	TSC1	TSC1_WT.1	BRDN0000464949	U2OS	Treated	7248
l02	CARD11	CARD11_WT	ccsbBroad304_15196	U2OS	Treated	84433
l03	TSC1	TSC1_WT.2	BRDN0000464950	U2OS	Treated	7248
l04	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
l05	TRAF6	TRAF6_WT.1	BRDN0000464951	U2OS	Treated	7189
l06	PKIA	PKIA_WT	BRDN0000464858	U2OS	Treated	5569
l07	TRAF6	TRAF6_WT.2	BRDN0000464952	U2OS	Treated	7189
l08	PRKACG	PRKACG_WT.3	BRDN0000464859	U2OS	Treated	5568
l09	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
l10	PER1	PER1_WT.2	BRDN0000464860	U2OS	Treated	5187
l11	BRAF	BRAF_WT.1	BRDN0000464953	U2OS	Treated	673
l12	ATF6	ATF6_WT.2	BRDN0000464861	U2OS	Treated	22926
l13	BRAF	BRAF_WT.2	BRDN0000464954	U2OS	Treated	673
l14	AKT1S1	AKT1S1_WT.1	BRDN0000464862	U2OS	Treated	84335
l15	NOTCH1	NOTCH1_WT.1	BRDN0000464955	U2OS	Treated	4851
l16	AKT1S1	AKT1S1_WT.2	BRDN0000464863	U2OS	Treated	84335
l17	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
l18	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
l19	NOTCH1	NOTCH1_WT.2	BRDN0000464956	U2OS	Treated	4851
l20	IRGM	IRGM_WT.2	BRDN0000464864	U2OS	Treated	345611
l21	SLIRP	SLIRP_WT.1	ccsbBroad304_09091	U2OS	Treated	81892
l22	RBPJ	RBPJ_WT.2	BRDN0000464865	U2OS	Treated	3516
l23	SLIRP	SLIRP_WT.2	BRDN0000464957	U2OS	Treated	81892
l24	DLL1	DLL1_WT	BRDN0000464866	U2OS	Treated	28514
m01	HSP90AA1	HSP90AA1_WT	ccsbBroad304_06413	U2OS	Treated	3320
m02	LacZ	LacZ_CTRL	NA	U2OS	CTRL	NA
m03	SMAD3	SMAD3_WT.1	ccsbBroad304_06549	U2OS	Treated	4088
m04	PRKACA	PRKACA_WT.2	BRDN0000464879	U2OS	Treated	5566
m05	NFKB1	NFKB1_WT.2	ccsbBroad304_06637	U2OS	Treated	4790
m06	PIK3CA	PIK3CA_WT.2	BRDN0000464880	U2OS	Treated	5290
m07	FURIN	FURIN_WT.2	ccsbBroad304_06683	U2OS	Treated	5045
m08	CHUK	CHUK_WT.1.mismatch	BRDN0000464881	U2OS	Treated	1147
m09	PIK3R1	PIK3R1_WT.2	ccsbBroad304_06728	U2OS	Treated	5295
m10	MAP3K9	MAP3K9_WT	BRDN0000464882	U2OS	Treated	4293
m11	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
m12	VEGFC	VEGFC_WT.2	BRDN0000464883	U2OS	Treated	7424
m13	PRKAA1	PRKAA1_WT.2	ccsbBroad304_06770	U2OS	Treated	5562
m14	CHUK	CHUK_WT.2	BRDN0000464884	U2OS	Treated	1147
m15	PRKACB	PRKACB_WT.3	ccsbBroad304_06771	U2OS	Treated	5567
m16	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
m17	RAC1	RAC1_WT.2	ccsbBroad304_06831	U2OS	Treated	5879
m18	ACVR1B	ACVR1B_WT.2.mismatch	BRDN0000464885	U2OS	Treated	91
m19	RAF1	RAF1_WT.2	ccsbBroad304_06837	U2OS	Treated	5894
m20	TGFBR1	TGFBR1_WT.3	BRDN0000464886	U2OS	Treated	7046
m21	RB1	RB1_WT.2	ccsbBroad304_06846	U2OS	Treated	5925
m22	TCF4	TCF4_WT.1	BRDN0000464887	U2OS	Treated	6925
m23	RHEB	RHEB_WT.2	ccsbBroad304_06864	U2OS	Treated	6009
m24	DVL1	DVL1_WT.2	BRDN0000464888	U2OS	Treated	1855
n01	CDK4	CDK4_R24C	BRDN0000464958	U2OS	Treated	1019
n02	SMO	SMO_WT.1	BRDN0000464867	U2OS	Treated	6608
n03	BMPR1B	BMPR1B_K231R	BRDN0000464959	U2OS	Treated	658
n04	SMO	SMO_WT.2	BRDN0000464868	U2OS	Treated	6608
n05	Luciferase	Luciferase_CTRL	NA	U2OS	CTRL	NA
n06	GLI1	GLI1_WT	BRDN0000464869	U2OS	Treated	2735
n07	RPS6KB1	RPS6KB1_T389E.mismatch	BRDN0000464960	U2OS	Treated	6198
n08	DEPTOR	DEPTOR_WT.1	BRDN0000464870	U2OS	Treated	64798
n09	PRKCZ	PRKCZ_del1-238	BRDN0000464961	U2OS	Treated	5590
n10	DEPTOR	DEPTOR_WT.2	BRDN0000464871	U2OS	Treated	64798
n11	PRKCA	PRKCA_del1-325	BRDN0000464962	U2OS	Treated	5578
n12	PPARGC1A	PPARGC1A_WT.1	BRDN0000464872	U2OS	Treated	10891
n13	PRKCE	PRKCE_del1-394	BRDN0000464963	U2OS	Treated	5581
n14	PPARGC1A	PPARGC1A_WT.2	BRDN0000464873	U2OS	Treated	10891
n15	PRKCZ	PRKCZ_K281R	BRDN0000464964	U2OS	Treated	5590
n16	Luciferase	Luciferase_CTRL	NA	U2OS	CTRL	NA
n17	STAT1	STAT1_Y701F	BRDN0000464965	U2OS	Treated	6772
n18	CCNE1	CCNE1_WT.mismatch	ccsbBroad304_00238	U2OS	Treated	898
n19	MYD88	MYD88_L265P	BRDN0000464966	U2OS	Treated	4615
n20	MLST8	MLST8_WT	ccsbBroad304_03937	U2OS	Treated	64223
n21	JAK2	JAK2_V617F.mismatch	BRDN0000464967	U2OS	Treated	3717
n22	RPTOR	RPTOR_WT	ccsbBroad304_12357	U2OS	Treated	57521
n23	STAT3	STAT3_Y705F	BRDN0000464968	U2OS	Treated	6774
n24	MYD88	MYD88_WT	BRDN0000464874	U2OS	Treated	4615
o01	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
o02	SMAD3	SMAD3_WT.2	BRDN0000464889	U2OS	Treated	4088
o03	SDHA	SDHA_WT	ccsbBroad304_06926	U2OS	Treated	6389
o04	RELA	RELA_WT.2	BRDN0000464890	U2OS	Treated	5970
o05	SREBF1	SREBF1_WT	ccsbBroad304_06995	U2OS	Treated	6720
o06	EIF2A	EIF2A_WT.2	BRDN0000464891	U2OS	Treated	83939
o07	STK3	STK3_WT.2	ccsbBroad304_07012	U2OS	Treated	6788
o08	APAF1	APAF1_WT	BRDN0000464892	U2OS	Treated	317
